Model,Runs,Mean Pinball Loss (kWh) Mean,Mean Pinball Loss (kWh) SD,RMSE (kWh) Mean,RMSE (kWh) SD,MAE (kWh) Mean,MAE (kWh) SD,R-squared Mean,R-squared SD,CV(RMSE) (%) Mean,CV(RMSE) (%) SD,PICP (%) Mean,PICP (%) SD,MPIW (kWh) Mean,MPIW (kWh) SD,Training Time (s) Mean,Training Time (s) SD,Epochs Mean,Epochs SD
LSTM,5,0.6133608437973306,0.02608452807553822,3.9817235003087545,0.1484487637047024,2.2929986282956754,0.10764586664827326,0.9830418140659682,0.0012511469330432551,17.911488876408242,0.6677857916570923,86.6627427898764,1.0036997644398922,8.419213485717773,0.5160453837273898,218.3580162525177,29.85330634675669,60.2,9.497368056467012
CNN-LSTM,5,0.56141670734566,0.02143080767688064,3.752837210989294,0.19829146947474388,2.0624932546547385,0.07910168634287369,0.9849185574498562,0.001628806281976003,16.881860820921723,0.8919995196823967,90.08828722778105,0.8130098481380598,9.355307388305665,0.4706826837566012,239.81197400093077,58.836552605800115,61.4,10.761040841851685
Transformer,5,0.8126723342777918,0.14515641452317035,4.814297246862128,0.8834373950969012,2.9451830758958724,0.5568665230276157,0.9745689183336632,0.009364953209549437,21.656760339638655,3.9740778268642223,95.73866980576808,2.2990871092961975,17.332164573669434,4.187854819596726,481.8425770759583,107.02251155905367,39.2,8.228000972289685
