Horizon (hours),RMSE (kWh),MAE (kWh),R-squared,PICP (%),MPIW (kWh)
1,4.371991756616129,2.551532590543669,0.9793658551011573,95.28639618138425,15.667067
3,4.53533874409758,2.7522758941126657,0.9778674911754224,95.52505966587113,16.33567
6,4.580845264212333,2.6613911113122346,0.9774059365509119,95.4653937947494,17.142895
12,5.909999982811553,2.9608475525104754,0.9623865578092242,96.47971360381862,21.167656
24,6.3674221957286505,3.0396673081529957,0.9560505370118765,96.4200477326969,22.253183
