Model,Test RMSE (kWh),Test MAE (kWh),Test R-squared,Test CV(RMSE) (%),Test PICP (%),Test MPIW (kWh),Training Time (s)
Tuned Baseline LSTM,4.1036308635452565,2.345784614612331,0.9820075167093717,18.459880139737688,87.4043555032372,8.364244,286.6863589286804
Tuned CNN-LSTM,3.6843228255818556,2.0450772322463253,0.98549659794451,16.573653922073998,92.2307239552678,9.751761,251.5248830318451
Tuned Transformer,4.331427203580442,2.66934750042061,0.979954514807337,19.484605138927197,94.64390818128311,14.150347,625.8945369720459
